nom_plante,numero_etape,titre_etape,description_etape
Céleri,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Céleri,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Céleri,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Fenouil,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Fenouil,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Fenouil,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Fenouil,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Fenouil,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Artichaut,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Artichaut,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Artichaut,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Artichaut,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Artichaut,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Asperge,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Asperge,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Asperge,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Asperge,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Asperge,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Topinambour,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Topinambour,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Topinambour,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Topinambour,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Topinambour,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Panais,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Panais,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Panais,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Panais,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Panais,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Patate douce,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Patate douce,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Patate douce,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Patate douce,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Patate douce,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Pomme de terre,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Pomme de terre,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Pomme de terre,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Pomme de terre,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Pomme de terre,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Navet jaune,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Navet jaune,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Navet jaune,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Navet jaune,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Navet jaune,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Coriandre,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Coriandre,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Coriandre,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Coriandre,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Coriandre,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Aneth,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Aneth,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Aneth,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Aneth,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Aneth,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Estragon,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Estragon,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Estragon,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Estragon,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Estragon,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Origan,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Origan,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Origan,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Origan,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Origan,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Marjolaine,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Marjolaine,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Marjolaine,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Marjolaine,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Marjolaine,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Verveine,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Verveine,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Verveine,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Verveine,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Verveine,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Mélisse,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Mélisse,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Mélisse,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Mélisse,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Mélisse,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Stevia,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Stevia,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Stevia,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Stevia,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Stevia,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Sarriette,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Sarriette,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Sarriette,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Sarriette,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Sarriette,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Chèvrefeuille,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Chèvrefeuille,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Chèvrefeuille,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Chèvrefeuille,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Chèvrefeuille,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Coquelicot,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Coquelicot,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Coquelicot,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Coquelicot,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Coquelicot,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Bleuet,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Bleuet,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Bleuet,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Bleuet,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Bleuet,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Mimosa,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Mimosa,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Mimosa,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Mimosa,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Mimosa,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Iris,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Iris,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Iris,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Iris,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Iris,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Jacinthe,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Jacinthe,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Jacinthe,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Jacinthe,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Jacinthe,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Glaïeul,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Glaïeul,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Glaïeul,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Glaïeul,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Glaïeul,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Amaryllis,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Amaryllis,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Amaryllis,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Amaryllis,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Amaryllis,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Anémone,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Anémone,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Anémone,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Anémone,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Anémone,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Camélia,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Camélia,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Camélia,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Camélia,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Camélia,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Cyclamen,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Cyclamen,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Cyclamen,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Cyclamen,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Cyclamen,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Fuchsia,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Fuchsia,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Fuchsia,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Fuchsia,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Fuchsia,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Gardenia,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Gardenia,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Gardenia,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Gardenia,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Gardenia,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Hibiscus,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Hibiscus,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Hibiscus,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Hibiscus,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Hibiscus,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Lilas,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Lilas,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Lilas,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Lilas,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Lilas,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Lotus,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Lotus,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Lotus,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Lotus,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Lotus,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Marguerite,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Marguerite,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Marguerite,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Marguerite,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Marguerite,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Pâquerette,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Pâquerette,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Pâquerette,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Pâquerette,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Pâquerette,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Primevère,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Primevère,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Primevère,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Primevère,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Primevère,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Renoncule,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Renoncule,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Renoncule,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Renoncule,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Renoncule,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Souci,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Souci,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Souci,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Souci,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Souci,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Zinnia,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Zinnia,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Zinnia,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Zinnia,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Zinnia,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Bromélia,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Bromélia,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Bromélia,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Bromélia,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Bromélia,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Begonia rex,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Begonia rex,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Begonia rex,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Begonia rex,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Begonia rex,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Calla,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Calla,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Calla,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Calla,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Calla,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Dracaena,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Dracaena,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Dracaena,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Dracaena,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Dracaena,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Ficus,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Ficus,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Ficus,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Ficus,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Ficus,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Philodendron,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Philodendron,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Philodendron,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Philodendron,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Philodendron,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Monstera,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Monstera,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Monstera,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Monstera,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Monstera,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Pothos,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Pothos,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Pothos,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Pothos,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Pothos,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Sansevieria,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Sansevieria,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Sansevieria,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Sansevieria,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Sansevieria,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Schefflera,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Schefflera,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Schefflera,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Schefflera,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Schefflera,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Croton,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Croton,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Croton,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Croton,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Croton,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Calathea,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Calathea,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Calathea,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Calathea,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Calathea,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
